time,lat,lon,head,fix,route,stop,next,code,dev,fer
2023-11-01 20:03:35,64.117898333,-21.808566667,285.76,2,5,90000319,90000320,6,0207,5-A
2023-11-01 20:35:05,64.124710000,-21.928383333,53.83,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:35:16,64.124710000,-21.928383333,53.83,2,5,90000333,90000009,6,0207,5-A
2023-11-01 19:08:19,64.133928333,-21.933166667,349.59,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:35:26,64.124710000,-21.928383333,53.83,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:35:36,64.124710000,-21.928383333,53.83,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:35:47,64.124740000,-21.928266667,53.28,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:03:46,64.117908333,-21.808633333,290.51,2,5,90000319,90000320,3,0207,5-A
2023-11-01 20:03:56,64.118066667,-21.809266667,349.93,2,5,90000319,90000320,6,0207,5-A
2023-11-01 20:04:07,64.119466667,-21.808200000,18.10,2,5,90000319,90000320,6,0207,5-A
2023-11-01 20:35:57,64.124831667,-21.928050000,39.33,2,5,90000333,90000009,3,0207,5-A
2023-11-01 19:08:29,64.135190000,-21.933416667,0.56,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:36:08,64.125100000,-21.927966667,338.93,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:04:18,64.119831667,-21.807916667,17.89,2,5,90000320,90000154,7,0207,5-A
2023-11-01 20:04:28,64.119846667,-21.807933333,17.89,2,5,90000320,90000154,6,0207,5-A
2023-11-01 19:08:40,64.135943333,-21.933200000,10.36,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:04:38,64.119855000,-21.807916667,23.94,2,5,90000320,90000154,3,0207,5-A
2023-11-01 20:36:18,64.126086667,-21.928333333,343.22,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:36:29,64.126593333,-21.928766667,348.39,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:04:49,64.120628333,-21.808800000,290.89,2,5,90000154,90000019,6,0207,5-A
2023-11-01 19:08:50,64.136636667,-21.932966667,346.20,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:04:59,64.121030000,-21.811250000,291.67,2,5,90000154,90000019,6,0207,5-A
2023-11-01 20:36:39,64.127431667,-21.929166667,349.39,2,5,90000333,90000009,6,0207,5-A
2023-11-01 20:36:50,64.128343333,-21.929550000,349.16,2,5,90000333,90000009,6,0207,5-A
2023-11-01 19:09:01,64.137008333,-21.932833333,18.53,2,5,90000009,90000834,6,0207,5-A
2023-11-01 20:37:00,64.129873333,-21.929816667,356.19,2,5,90000333,90000009,6,0207,5-A
