service_id,date,exception_type
20220904_MTWTF--_80,20230912,1
20220905_MTWTF--_29,20230912,1
20220905_MTWTF--_38,20230912,1
20230820_MTWTF--_42,20230912,1
20230821_MTWTF--_48,20230912,1
20230821_MTWTF--_49,20230912,1
20230823_MTWTF--_72,20230912,1
20220522_MTWTF--_1,20230913,1
20220522_MTWTF--_2,20230913,1
20220522_MTWTF--_3,20230913,1
20220904_--W----_71,20230913,1
20220904_--WT---_10,20230913,1
20220904_M-W-F--_11,20230913,1
20220904_M-WTF--_22,20230913,1
20220904_MTW-F--_14,20230913,1
20220904_MTWT---_15,20230913,1
20220904_MTWTF--_16,20230913,1
20220904_MTWTF--_20,20230913,1
20220904_MTWTF--_28,20230913,1
20220904_MTWTF--_80,20230913,1
20220905_MTWTF--_29,20230913,1
20220905_MTWTF--_38,20230913,1
20230820_MTWTF--_42,20230913,1
20230821_MTWTF--_48,20230913,1
20230821_MTWTF--_49,20230913,1
20230823_MTWTF--_72,20230913,1
20220522_MTWTF--_1,20230914,1
20220522_MTWTF--_2,20230914,1
20220522_MTWTF--_3,20230914,1
20220904_---T---_9,20230914,1
20220904_--WT---_10,20230914,1
20220904_M-WTF--_22,20230914,1
20220904_MT-TF--_13,20230914,1
20220904_MTWT---_15,20230914,1
20220904_MTWTF--_16,20230914,1
20220904_MTWTF--_20,20230914,1
20220904_MTWTF--_28,20230914,1
20220904_MTWTF--_80,20230914,1
20220905_MTWTF--_29,20230914,1
20220905_MTWTF--_38,20230914,1
20230820_MTWTF--_42,20230914,1
20230821_MTWTF--_48,20230914,1
20230821_MTWTF--_49,20230914,1
20230823_MTWTF--_72,20230914,1
20220522_MTWTF--_1,20230915,1
20220522_MTWTF--_2,20230915,1
20220522_MTWTF--_3,20230915,1
20220904_----F--_8,20230915,1
20220904_M-W-F--_11,20230915,1
20220904_M-WTF--_22,20230915,1
20220904_MT--F--_12,20230915,1
20220904_MT-TF--_13,20230915,1
20220904_MTW-F--_14,20230915,1
20220904_MTWTF--_16,20230915,1
20220904_MTWTF--_20,20230915,1
20220904_MTWTF--_28,20230915,1
20220904_MTWTF--_80,20230915,1
20220905_MTWTF--_29,20230915,1
20220905_MTWTF--_38,20230915,1
20230820_----F--_41,20230915,1
20230820_MTWTF--_42,20230915,1
20230821_MTWTF--_48,20230915,1
20230821_MTWTF--_49,20230915,1
20230823_MTWTF--_72,20230915,1
20230831_----F--_74,20230915,1
20220522_-----S-_5,20230916,1
20220904_-----S-_18,20230916,1
20220904_-----S-_27,20230916,1
20220904_-----S-_7,20230916,1
20230820_-----S-_40,20230916,1
20230820_-----S-_44,20230916,1
20230821_-----S-_50,20230916,1
20220522_------S_4,20230917,1
20220904_------S_17,20230917,1
20220904_------S_19,20230917,1
20220904_------S_21,20230917,1
20230820_------S_39,20230917,1
20230820_------S_43,20230917,1
20230831_------S_73,20230917,1
20220522_MTWTF--_1,20230918,1
20220522_MTWTF--_2,20230918,1
20220522_MTWTF--_3,20230918,1
20220904_M-W-F--_11,20230918,1
20220904_MT--F--_12,20230918,1
20220904_MT-TF--_13,20230918,1
20220904_MTW-F--_14,20230918,1
20220904_MTWT---_15,20230918,1
20220904_MTWTF--_16,20230918,1
20220904_MTWTF--_20,20230918,1
20220904_MTWTF--_28,20230918,1
20220904_MTWTF--_80,20230918,1
20220905_MTWTF--_29,20230918,1
20220905_MTWTF--_38,20230918,1
20220926_M-W-F--_36,20230918,1
20230820_MTWTF--_42,20230918,1
20230821_MTWTF--_48,20230918,1
20230821_MTWTF--_49,20230918,1
20230823_MTWTF--_72,20230918,1
20220522_MTWTF--_1,20230919,1
20220522_MTWTF--_2,20230919,1
20220522_MTWTF--_3,20230919,1
20220904_-T-----_24,20230919,1
20220904_MT--F--_12,20230919,1
20220904_MT-TF--_13,20230919,1
20220904_MTW-F--_14,20230919,1
20220904_MTWT---_15,20230919,1
20220904_MTWTF--_16,20230919,1
20220904_MTWTF--_20,20230919,1
20220904_MTWTF--_28,20230919,1
20220904_MTWTF--_80,20230919,1
20220905_MTWTF--_29,20230919,1
20220905_MTWTF--_38,20230919,1
20230820_MTWTF--_42,20230919,1
20230821_MTWTF--_48,20230919,1
20230821_MTWTF--_49,20230919,1
20230823_MTWTF--_72,20230919,1
20220522_MTWTF--_1,20230920,1
20220522_MTWTF--_2,20230920,1
20220522_MTWTF--_3,20230920,1
20220904_--W----_71,20230920,1
20220904_--WT---_10,20230920,1
20220904_M-W-F--_11,20230920,1
20220904_MTW-F--_14,20230920,1
20220904_MTWT---_15,20230920,1
20220904_MTWTF--_16,20230920,1
20220904_MTWTF--_20,20230920,1
20220904_MTWTF--_28,20230920,1
20220904_MTWTF--_80,20230920,1
20220905_MTWTF--_29,20230920,1
20220905_MTWTF--_38,20230920,1
20220926_M-W-F--_36,20230920,1
20230820_MTWTF--_42,20230920,1
20230821_MTWTF--_48,20230920,1
20230821_MTWTF--_49,20230920,1
20230823_MTWTF--_72,20230920,1
20220522_MTWTF--_1,20230921,1
20220522_MTWTF--_2,20230921,1
20220522_MTWTF--_3,20230921,1
20220904_---T---_9,20230921,1
20220904_--WT---_10,20230921,1
20220904_MT-TF--_13,20230921,1
20220904_MTWT---_15,20230921,1
20220904_MTWTF--_16,20230921,1
20220904_MTWTF--_20,20230921,1
20220904_MTWTF--_28,20230921,1
20220904_MTWTF--_80,20230921,1
20220905_MTWTF--_29,20230921,1
20220905_MTWTF--_38,20230921,1
20220926_---T---_35,20230921,1
20230820_MTWTF--_42,20230921,1
20230821_MTWTF--_48,20230921,1
20230821_MTWTF--_49,20230921,1
20230823_MTWTF--_72,20230921,1
20220522_MTWTF--_1,20230922,1
20220522_MTWTF--_2,20230922,1
20220522_MTWTF--_3,20230922,1
20220904_----F--_8,20230922,1
20220904_M-W-F--_11,20230922,1
20220904_MT--F--_12,20230922,1
20220904_MT-TF--_13,20230922,1
20220904_MTW-F--_14,20230922,1
20220904_MTWTF--_16,20230922,1
20220904_MTWTF--_20,20230922,1
20220904_MTWTF--_28,20230922,1
20220904_MTWTF--_80,20230922,1
20220905_MTWTF--_29,20230922,1
20220905_MTWTF--_38,20230922,1
20220926_M-W-F--_36,20230922,1
20230820_----F--_41,20230922,1
20230820_MTWTF--_42,20230922,1
20230821_MTWTF--_48,20230922,1
20230821_MTWTF--_49,20230922,1
20230823_MTWTF--_72,20230922,1
20230831_----F--_74,20230922,1
20220522_-----S-_5,20230923,1
20220904_-----S-_18,20230923,1
20220904_-----S-_27,20230923,1
20220904_-----S-_7,20230923,1
20230820_-----S-_40,20230923,1
20230820_-----S-_44,20230923,1
20230821_-----S-_50,20230923,1
20220522_------S_4,20230924,1
20220904_------S_17,20230924,1
20220904_------S_19,20230924,1
20220926_------S_34,20230924,1
20230820_------S_39,20230924,1
20230820_------S_43,20230924,1
20230831_------S_73,20230924,1
20220522_MTWTF--_1,20230925,1
20220522_MTWTF--_2,20230925,1
20220522_MTWTF--_3,20230925,1
